Metadata_JCP2022,Metadata_NCBI_Gene_ID,Metadata_Symbol
JCP2022_801840,55929,DMAP1
JCP2022_801841,1755,DMBT1
JCP2022_801842,127343,DMBX1
JCP2022_801843,11144,DMC1
JCP2022_801844,29958,DMGDH
JCP2022_801845,1760,DMPK
JCP2022_801846,1761,DMRT1
JCP2022_801847,10655,DMRT2
JCP2022_801848,58524,DMRT3
JCP2022_801849,63951,DMRTA1
JCP2022_801850,63950,DMRTA2
JCP2022_801851,63948,DMRTB1
JCP2022_801852,63946,DMRTC2
JCP2022_801853,9988,DMTF1
JCP2022_801854,1763,DNA2
JCP2022_801855,8701,DNAH11
JCP2022_801856,55567,DNAH3
JCP2022_801857,1767,DNAH5
JCP2022_801858,56171,DNAH7
JCP2022_801859,27019,DNAI1
JCP2022_801860,3301,DNAJA1
JCP2022_801861,10294,DNAJA2
JCP2022_801862,55466,DNAJA4
JCP2022_801863,79982,DNAJB14
JCP2022_801864,54431,DNAJC10
JCP2022_801865,85406,DNAJC14
JCP2022_801866,202052,DNAJC18
JCP2022_801867,51277,DNAJC27
JCP2022_801868,85479,DNAJC5B
JCP2022_801869,10126,DNAL4
JCP2022_801870,1773,DNASE1
JCP2022_801871,1774,DNASE1L1
JCP2022_801872,1775,DNASE1L2
JCP2022_801873,1776,DNASE1L3
JCP2022_801874,1777,DNASE2
JCP2022_801875,58511,DNASE2B
JCP2022_801876,1759,DNM1
JCP2022_801877,10059,DNM1L
JCP2022_801878,26052,DNM3
JCP2022_801879,1786,DNMT1
JCP2022_801880,1789,DNMT3B
JCP2022_801881,29947,DNMT3L
JCP2022_801882,23549,DNPEP
JCP2022_801883,10591,DNPH1
JCP2022_801884,1791,DNTT
JCP2022_801885,83475,DOHH
JCP2022_801886,22845,DOLK
JCP2022_801887,57171,DOLPP1
JCP2022_801888,84444,DOT1L
JCP2022_801889,1798,DPAGT1
JCP2022_801890,1800,DPEP1
JCP2022_801891,64174,DPEP2
JCP2022_801892,64180,DPEP3
JCP2022_801893,8193,DPF1
JCP2022_801894,5977,DPF2
JCP2022_801895,8110,DPF3
JCP2022_801896,51611,DPH5
JCP2022_801897,8813,DPM1
JCP2022_801898,57628,DPP10
JCP2022_801899,10072,DPP3
JCP2022_801900,1803,DPP4
JCP2022_801901,1804,DPP6
JCP2022_801902,29952,DPP7
JCP2022_801903,54878,DPP8
JCP2022_801904,91039,DPP9
JCP2022_801905,1806,DPYD
JCP2022_801906,1807,DPYS
JCP2022_801907,1808,DPYSL2
JCP2022_801908,1809,DPYSL3
JCP2022_801909,10570,DPYSL4
JCP2022_801910,56896,DPYSL5
JCP2022_801911,1810,DR1
JCP2022_801912,10589,DRAP1
JCP2022_801913,1812,DRD1
JCP2022_801914,1813,DRD2
JCP2022_801915,1814,DRD3
JCP2022_801916,1815,DRD4
JCP2022_801917,1816,DRD5
JCP2022_801918,4733,DRG1
JCP2022_801919,1819,DRG2
JCP2022_801920,644168,DRGX
JCP2022_801921,29102,DROSHA
JCP2022_801922,92126,DSEL
JCP2022_801923,25778,DSTYK
JCP2022_801924,1840,DTX1
JCP2022_801925,113878,DTX2
JCP2022_801926,196403,DTX3
JCP2022_801927,151636,DTX3L
JCP2022_801928,23220,DTX4
JCP2022_801929,1841,DTYMK
JCP2022_801930,53905,DUOX1
JCP2022_801931,50506,DUOX2
JCP2022_801932,1843,DUSP1
JCP2022_801933,11221,DUSP10
JCP2022_801934,8446,DUSP11
JCP2022_801935,11266,DUSP12
JCP2022_801936,51207,DUSP13
JCP2022_801937,11072,DUSP14
JCP2022_801938,128853,DUSP15
JCP2022_801939,80824,DUSP16
JCP2022_801940,150290,DUSP18
JCP2022_801941,142679,DUSP19
JCP2022_801942,1844,DUSP2
JCP2022_801943,63904,DUSP21
JCP2022_801944,56940,DUSP22
JCP2022_801945,54935,DUSP23
JCP2022_801946,1845,DUSP3
JCP2022_801947,1846,DUSP4
JCP2022_801948,1847,DUSP5
JCP2022_801949,1848,DUSP6
JCP2022_801950,1849,DUSP7
JCP2022_801951,1850,DUSP8
JCP2022_801952,1852,DUSP9
JCP2022_801953,1854,DUT
JCP2022_801954,1778,DYNC1H1
JCP2022_801955,1780,DYNC1I1
JCP2022_801956,1781,DYNC1I2
JCP2022_801957,51143,DYNC1LI1
JCP2022_801958,1783,DYNC1LI2
JCP2022_801959,8655,DYNLL1
JCP2022_801960,83658,DYNLRB1
JCP2022_801961,83657,DYNLRB2
JCP2022_801962,1859,DYRK1A
JCP2022_801963,9149,DYRK1B
JCP2022_801964,8445,DYRK2
JCP2022_801965,8444,DYRK3
JCP2022_801966,8798,DYRK4
JCP2022_801967,9666,DZIP3
JCP2022_801968,1869,E2F1
JCP2022_801969,1870,E2F2
JCP2022_801970,1871,E2F3
JCP2022_801971,1874,E2F4
JCP2022_801972,1875,E2F5
JCP2022_801973,1876,E2F6
JCP2022_801974,144455,E2F7
JCP2022_801975,79733,E2F8
JCP2022_801976,1877,E4F1
JCP2022_801977,85403,EAF1
JCP2022_801978,55840,EAF2
JCP2022_801979,1879,EBF1
JCP2022_801980,64641,EBF2
JCP2022_801981,253738,EBF3
JCP2022_801982,57593,EBF4
JCP2022_801983,10148,EBI3
JCP2022_801984,10682,EBP
JCP2022_801985,84650,EBPL
JCP2022_801986,11319,ECD
JCP2022_801987,1889,ECE1
JCP2022_801988,9718,ECE2
JCP2022_801989,9427,ECEL1
JCP2022_801990,1891,ECH1
JCP2022_801991,79746,ECHDC3
JCP2022_801992,1892,ECHS1
JCP2022_801993,1632,ECI1
JCP2022_801994,10455,ECI2
JCP2022_801995,1893,ECM1
JCP2022_801996,51295,ECSIT
JCP2022_801997,60401,EDA2R
JCP2022_801998,10913,EDAR
JCP2022_801999,9695,EDEM1
JCP2022_802000,55741,EDEM2
JCP2022_802001,80267,EDEM3
JCP2022_802002,8721,EDF1
JCP2022_802003,1909,EDNRA
JCP2022_802004,1910,EDNRB
JCP2022_802005,8411,EEA1
JCP2022_802006,8726,EED
JCP2022_802007,1915,EEF1A1
JCP2022_802008,1917,EEF1A2
JCP2022_802009,1933,EEF1B2
JCP2022_802010,1936,EEF1D
JCP2022_802011,9521,EEF1E1
JCP2022_802012,1937,EEF1G
JCP2022_802013,1938,EEF2
JCP2022_802014,29904,EEF2K
JCP2022_802015,60678,EEFSEC
JCP2022_802016,79631,EFL1
JCP2022_802017,1942,EFNA1
JCP2022_802018,1943,EFNA2
JCP2022_802019,1945,EFNA4
JCP2022_802020,1946,EFNA5
JCP2022_802021,1947,EFNB1
JCP2022_802022,1948,EFNB2
JCP2022_802023,1949,EFNB3
JCP2022_802024,9343,EFTUD2
JCP2022_802025,1950,EGF
JCP2022_802026,1956,EGFR
JCP2022_802027,54583,EGLN1
JCP2022_802028,112398,EGLN2
JCP2022_802029,112399,EGLN3
JCP2022_802030,1958,EGR1
JCP2022_802031,1959,EGR2
JCP2022_802032,1960,EGR3
JCP2022_802033,1961,EGR4
JCP2022_802034,30844,EHD4
JCP2022_802035,26298,EHF
JCP2022_802036,1962,EHHADH
JCP2022_802037,79813,EHMT1
JCP2022_802038,10919,EHMT2
JCP2022_802039,23741,EID1
JCP2022_802040,10209,EIF1
JCP2022_802041,1964,EIF1AX
JCP2022_802042,9086,EIF1AY
JCP2022_802043,10289,EIF1B
JCP2022_802044,83939,EIF2A
JCP2022_802045,27102,EIF2AK1
JCP2022_802046,5610,EIF2AK2
JCP2022_802047,9451,EIF2AK3
JCP2022_802048,440275,EIF2AK4
JCP2022_802049,1967,EIF2B1
JCP2022_802050,8892,EIF2B2
JCP2022_802051,8891,EIF2B3
JCP2022_802052,8890,EIF2B4
JCP2022_802053,8893,EIF2B5
JCP2022_802054,1965,EIF2S1
JCP2022_802055,8894,EIF2S2
JCP2022_802056,1968,EIF2S3
JCP2022_802057,8661,EIF3A
JCP2022_802058,8662,EIF3B
JCP2022_802059,8664,EIF3D
JCP2022_802060,3646,EIF3E
JCP2022_802061,8665,EIF3F
JCP2022_802062,8666,EIF3G
JCP2022_802063,8667,EIF3H
JCP2022_802064,8668,EIF3I
JCP2022_802065,8669,EIF3J
JCP2022_802066,27335,EIF3K
JCP2022_802067,1973,EIF4A1
JCP2022_802068,1974,EIF4A2
JCP2022_802069,9775,EIF4A3
JCP2022_802070,1975,EIF4B
JCP2022_802071,9470,EIF4E2
JCP2022_802072,317649,EIF4E3
JCP2022_802073,1978,EIF4EBP1
JCP2022_802074,56478,EIF4ENIF1
JCP2022_802075,1981,EIF4G1
JCP2022_802076,1982,EIF4G2
JCP2022_802077,8672,EIF4G3
JCP2022_802078,7458,EIF4H
JCP2022_802079,1983,EIF5
JCP2022_802080,1984,EIF5A
JCP2022_802081,56648,EIF5A2
JCP2022_802082,9669,EIF5B
JCP2022_802083,3692,EIF6
JCP2022_802084,55520,ELAC1
JCP2022_802085,60528,ELAC2
JCP2022_802086,1991,ELANE
JCP2022_802087,1997,ELF1
JCP2022_802088,1998,ELF2
JCP2022_802089,1999,ELF3
JCP2022_802090,2000,ELF4
JCP2022_802091,2001,ELF5
JCP2022_802092,2002,ELK1
JCP2022_802093,2004,ELK3
JCP2022_802094,2005,ELK4
JCP2022_802095,8178,ELL
JCP2022_802096,22936,ELL2
JCP2022_802097,80237,ELL3
JCP2022_802098,84173,ELMOD3
JCP2022_802099,6785,ELOVL4
JCP2022_802100,60481,ELOVL5
JCP2022_802101,79071,ELOVL6
JCP2022_802102,55140,ELP3
JCP2022_802103,2016,EMX1
JCP2022_802104,2018,EMX2
JCP2022_802105,2019,EN1
JCP2022_802106,2020,EN2
JCP2022_802107,8507,ENC1
JCP2022_802108,2021,ENDOG
JCP2022_802109,64772,ENGASE
JCP2022_802110,2023,ENO1
JCP2022_802111,2026,ENO2
JCP2022_802112,2027,ENO3
JCP2022_802113,58478,ENOPH1
JCP2022_802114,2028,ENPEP
JCP2022_802115,5167,ENPP1
JCP2022_802116,5168,ENPP2
JCP2022_802117,5169,ENPP3
JCP2022_802118,22875,ENPP4
JCP2022_802119,59084,ENPP5
JCP2022_802120,133121,ENPP6
JCP2022_802121,339221,ENPP7
JCP2022_802122,953,ENTPD1
JCP2022_802123,956,ENTPD3
JCP2022_802124,9583,ENTPD4
JCP2022_802125,957,ENTPD5
JCP2022_802126,955,ENTPD6
JCP2022_802127,57089,ENTPD7
JCP2022_802128,377841,ENTPD8
JCP2022_802129,8320,EOMES
JCP2022_802130,2033,EP300
JCP2022_802131,2034,EPAS1
JCP2022_802132,2036,EPB41L1
JCP2022_802133,2038,EPB42
JCP2022_802134,80314,EPC1
JCP2022_802135,2041,EPHA1
JCP2022_802136,284656,EPHA10
JCP2022_802137,1969,EPHA2
JCP2022_802138,2042,EPHA3
JCP2022_802139,2043,EPHA4
JCP2022_802140,2044,EPHA5
JCP2022_802141,285220,EPHA6
JCP2022_802142,2045,EPHA7
JCP2022_802143,2046,EPHA8
JCP2022_802144,2047,EPHB1
JCP2022_802145,2048,EPHB2
JCP2022_802146,2049,EPHB3
JCP2022_802147,2050,EPHB4
JCP2022_802148,2051,EPHB6
JCP2022_802149,2053,EPHX2
JCP2022_802150,79852,EPHX3
JCP2022_802151,253152,EPHX4
JCP2022_802152,7957,EPM2A
JCP2022_802153,2057,EPOR
JCP2022_802154,2058,EPRS
JCP2022_802155,2059,EPS8
JCP2022_802156,85465,EPT1
JCP2022_802157,8288,EPX
JCP2022_802158,26284,ERAL1
JCP2022_802159,51752,ERAP1
JCP2022_802160,64167,ERAP2
JCP2022_802161,2064,ERBB2
JCP2022_802162,2065,ERBB3
JCP2022_802163,2066,ERBB4
JCP2022_802164,2067,ERCC1
JCP2022_802165,2068,ERCC2
JCP2022_802166,2071,ERCC3
JCP2022_802167,2072,ERCC4
JCP2022_802168,2073,ERCC5
JCP2022_802169,2074,ERCC6
JCP2022_802170,1161,ERCC8
JCP2022_802171,2069,EREG
JCP2022_802172,2077,ERF
JCP2022_802173,2078,ERG
JCP2022_802174,90459,ERI1
JCP2022_802175,79956,ERMP1
JCP2022_802176,2081,ERN1
JCP2022_802177,10595,ERN2
JCP2022_802178,30001,ERO1A
JCP2022_802179,23071,ERP44
JCP2022_802180,2098,ESD
JCP2022_802181,11082,ESM1
JCP2022_802182,9700,ESPL1
JCP2022_802183,2099,ESR1
JCP2022_802184,2100,ESR2
JCP2022_802185,2101,ESRRA
JCP2022_802186,2103,ESRRB
JCP2022_802187,2104,ESRRG
JCP2022_802188,80712,ESX1
JCP2022_802189,2107,ETF1
JCP2022_802190,2108,ETFA
JCP2022_802191,2109,ETFB
JCP2022_802192,2110,ETFDH
JCP2022_802193,55500,ETNK1
JCP2022_802194,55224,ETNK2
JCP2022_802195,64850,ETNPPL
JCP2022_802196,2113,ETS1
JCP2022_802197,2114,ETS2
JCP2022_802198,2115,ETV1
JCP2022_802199,2116,ETV2
JCP2022_802200,2117,ETV3
JCP2022_802201,2118,ETV4
JCP2022_802202,2119,ETV5
JCP2022_802203,2120,ETV6
JCP2022_802204,51513,ETV7
JCP2022_802205,2128,EVX1
JCP2022_802206,344191,EVX2
JCP2022_802207,2130,EWSR1
JCP2022_802208,9156,EXO1
JCP2022_802209,9941,EXOG
JCP2022_802210,54512,EXOSC4
JCP2022_802211,56915,EXOSC5
JCP2022_802212,23016,EXOSC7
JCP2022_802213,11340,EXOSC8
JCP2022_802214,5393,EXOSC9
JCP2022_802215,2131,EXT1
JCP2022_802216,2132,EXT2
JCP2022_802217,2134,EXTL1
JCP2022_802218,2135,EXTL2
JCP2022_802219,2137,EXTL3
JCP2022_802220,2138,EYA1
JCP2022_802221,2139,EYA2
JCP2022_802222,2140,EYA3
JCP2022_802223,2070,EYA4
JCP2022_802224,2145,EZH1
JCP2022_802225,2146,EZH2
JCP2022_802226,2159,F10
JCP2022_802227,2160,F11
JCP2022_802228,50848,F11R
JCP2022_802229,2161,F12
JCP2022_802230,2162,F13A1
JCP2022_802231,2165,F13B
JCP2022_802232,2147,F2
JCP2022_802233,2149,F2R
JCP2022_802234,2150,F2RL1
JCP2022_802235,2151,F2RL2
JCP2022_802236,9002,F2RL3
JCP2022_802237,2152,F3
JCP2022_802238,2153,F5
JCP2022_802239,2155,F7
JCP2022_802240,2157,F8
JCP2022_802241,2158,F9
JCP2022_802242,79152,FA2H
JCP2022_802243,2166,FAAH
JCP2022_802244,158584,FAAH2
JCP2022_802245,2168,FABP1
JCP2022_802246,2169,FABP2
JCP2022_802247,2170,FABP3
JCP2022_802248,2172,FABP6
JCP2022_802249,2173,FABP7
JCP2022_802250,8772,FADD
JCP2022_802251,3992,FADS1
JCP2022_802252,9415,FADS2
JCP2022_802253,3995,FADS3
JCP2022_802254,283985,FADS6
JCP2022_802255,2184,FAH
JCP2022_802256,81889,FAHD1
JCP2022_802257,51011,FAHD2A
JCP2022_802258,151313,FAHD2B
JCP2022_802259,340069,FAM170A
JCP2022_802260,54757,FAM20A
JCP2022_802261,9917,FAM20B
JCP2022_802262,56975,FAM20C
JCP2022_802263,2175,FANCA
JCP2022_802264,2176,FANCC
JCP2022_802265,2189,FANCG
JCP2022_802266,55120,FANCL
JCP2022_802267,57697,FANCM
JCP2022_802268,92565,FANK1
JCP2022_802269,2191,FAP
JCP2022_802270,10667,FARS2
JCP2022_802271,2193,FARSA
JCP2022_802272,10056,FARSB
JCP2022_802273,355,FAS
JCP2022_802274,2194,FASN
JCP2022_802275,10922,FASTK
JCP2022_802276,79675,FASTKD1
JCP2022_802277,22868,FASTKD2
JCP2022_802278,79072,FASTKD3
JCP2022_802279,60493,FASTKD5
JCP2022_802280,2203,FBP1
JCP2022_802281,8789,FBP2
JCP2022_802282,54850,FBXL12
JCP2022_802283,222235,FBXL13
JCP2022_802284,144699,FBXL14
JCP2022_802285,79176,FBXL15
JCP2022_802286,146330,FBXL16
JCP2022_802287,64839,FBXL17
JCP2022_802288,80028,FBXL18
JCP2022_802289,54620,FBXL19
JCP2022_802290,25827,FBXL2
JCP2022_802291,84961,FBXL20
JCP2022_802292,26223,FBXL21
JCP2022_802293,283807,FBXL22
JCP2022_802294,26224,FBXL3
JCP2022_802295,26235,FBXL4
JCP2022_802296,26234,FBXL5
JCP2022_802297,26233,FBXL6
JCP2022_802298,23194,FBXL7
JCP2022_802299,55336,FBXL8
JCP2022_802300,26267,FBXO10
JCP2022_802301,80204,FBXO11
JCP2022_802302,201456,FBXO15
JCP2022_802303,157574,FBXO16
JCP2022_802304,115290,FBXO17
JCP2022_802305,84893,FBXO18
JCP2022_802306,26232,FBXO2
JCP2022_802307,23014,FBXO21
JCP2022_802308,26263,FBXO22
JCP2022_802309,26261,FBXO24
JCP2022_802310,26260,FBXO25
JCP2022_802311,126433,FBXO27
JCP2022_802312,23219,FBXO28
JCP2022_802313,26273,FBXO3
JCP2022_802314,84085,FBXO30
JCP2022_802315,79791,FBXO31
JCP2022_802316,114907,FBXO32
JCP2022_802317,254170,FBXO33
JCP2022_802318,55030,FBXO34
JCP2022_802319,130888,FBXO36
JCP2022_802320,81545,FBXO38
JCP2022_802321,162517,FBXO39
JCP2022_802322,26272,FBXO4
JCP2022_802323,51725,FBXO40
JCP2022_802324,150726,FBXO41
JCP2022_802325,54455,FBXO42
JCP2022_802326,286151,FBXO43
JCP2022_802327,93611,FBXO44
JCP2022_802328,200933,FBXO45
JCP2022_802329,23403,FBXO46
JCP2022_802330,494188,FBXO47
JCP2022_802331,554251,FBXO48
JCP2022_802332,26271,FBXO5
JCP2022_802333,26270,FBXO6
JCP2022_802334,25793,FBXO7
JCP2022_802335,26269,FBXO8
JCP2022_802336,26268,FBXO9
JCP2022_802337,10517,FBXW10
JCP2022_802338,23291,FBXW11
JCP2022_802339,285231,FBXW12
JCP2022_802340,26190,FBXW2
JCP2022_802341,6468,FBXW4
JCP2022_802342,54461,FBXW5
JCP2022_802343,55294,FBXW7
JCP2022_802344,26259,FBXW8
JCP2022_802345,2205,FCER1A
JCP2022_802346,2207,FCER1G
JCP2022_802347,2208,FCER2
JCP2022_802348,2212,FCGR2A
JCP2022_802349,2213,FCGR2B
JCP2022_802350,2214,FCGR3A
JCP2022_802351,2215,FCGR3B
JCP2022_802352,2217,FCGRT
JCP2022_802353,79368,FCRL2
JCP2022_802354,2222,FDFT1
JCP2022_802355,2224,FDPS
JCP2022_802356,2230,FDX1
JCP2022_802357,2232,FDXR
JCP2022_802358,2235,FECH
JCP2022_802359,55527,FEM1A
JCP2022_802360,10116,FEM1B
JCP2022_802361,2237,FEN1
JCP2022_802362,2241,FER
JCP2022_802363,222894,FERD3L
JCP2022_802364,2242,FES
JCP2022_802365,54738,FEV
JCP2022_802366,389549,FEZF1
JCP2022_802367,55079,FEZF2
JCP2022_802368,2864,FFAR1
JCP2022_802369,2867,FFAR2
JCP2022_802370,2865,FFAR3
JCP2022_802371,338557,FFAR4
JCP2022_802372,2243,FGA
JCP2022_802373,2244,FGB
JCP2022_802374,2245,FGD1
JCP2022_802375,2246,FGF1
JCP2022_802376,2255,FGF10
JCP2022_802377,2256,FGF11
JCP2022_802378,2257,FGF12
JCP2022_802379,2258,FGF13
JCP2022_802380,2259,FGF14
JCP2022_802381,8823,FGF16
JCP2022_802382,8822,FGF17
JCP2022_802383,8817,FGF18
JCP2022_802384,9965,FGF19
JCP2022_802385,2247,FGF2
JCP2022_802386,26281,FGF20
JCP2022_802387,26291,FGF21
JCP2022_802388,8074,FGF23
JCP2022_802389,2248,FGF3
JCP2022_802390,2249,FGF4
JCP2022_802391,2250,FGF5
JCP2022_802392,2251,FGF6
JCP2022_802393,2252,FGF7
JCP2022_802394,2253,FGF8
JCP2022_802395,2254,FGF9
JCP2022_802396,2260,FGFR1
JCP2022_802397,2261,FGFR3
JCP2022_802398,2264,FGFR4
JCP2022_802399,53834,FGFRL1
JCP2022_802400,2266,FGG
JCP2022_802401,55277,FGGY
JCP2022_802402,10875,FGL2
JCP2022_802403,2268,FGR
JCP2022_802404,2271,FH
JCP2022_802405,2272,FHIT
JCP2022_802406,9457,FHL5
JCP2022_802407,2277,FIGF
JCP2022_802408,344018,FIGLA
JCP2022_802409,60681,FKBP10
JCP2022_802410,51303,FKBP11
JCP2022_802411,55033,FKBP14
JCP2022_802412,23307,FKBP15
JCP2022_802413,2280,FKBP1A
JCP2022_802414,2281,FKBP1B
JCP2022_802415,2286,FKBP2
JCP2022_802416,2287,FKBP3
JCP2022_802417,2288,FKBP4
JCP2022_802418,2289,FKBP5
JCP2022_802419,8468,FKBP6
JCP2022_802420,51661,FKBP7
JCP2022_802421,11328,FKBP9
JCP2022_802422,80308,FLAD1
JCP2022_802423,2313,FLI1
JCP2022_802424,2316,FLNA
JCP2022_802425,2318,FLNC
JCP2022_802426,2321,FLT1
JCP2022_802427,2322,FLT3
JCP2022_802428,2324,FLT4
JCP2022_802429,28982,FLVCR1
JCP2022_802430,2326,FMO1
JCP2022_802431,2327,FMO2
JCP2022_802432,2328,FMO3
JCP2022_802433,2329,FMO4
JCP2022_802434,2335,FN1
JCP2022_802435,64122,FN3K
JCP2022_802436,79672,FN3KRP
JCP2022_802437,2339,FNTA
JCP2022_802438,2342,FNTB
JCP2022_802439,2346,FOLH1
JCP2022_802440,2348,FOLR1
JCP2022_802441,2350,FOLR2
JCP2022_802442,2353,FOS
JCP2022_802443,2354,FOSB
JCP2022_802444,8061,FOSL1
JCP2022_802445,2355,FOSL2
JCP2022_802446,3169,FOXA1
JCP2022_802447,3170,FOXA2
JCP2022_802448,3171,FOXA3
JCP2022_802449,27023,FOXB1
JCP2022_802450,442425,FOXB2
JCP2022_802451,2296,FOXC1
JCP2022_802452,2303,FOXC2
JCP2022_802453,2297,FOXD1
JCP2022_802454,2306,FOXD2
JCP2022_802455,27022,FOXD3
JCP2022_802456,2298,FOXD4
JCP2022_802457,200350,FOXD4L1
JCP2022_802458,653427,FOXD4L5
JCP2022_802459,2304,FOXE1
JCP2022_802460,2301,FOXE3
JCP2022_802461,2294,FOXF1
JCP2022_802462,2295,FOXF2
JCP2022_802463,2290,FOXG1
JCP2022_802464,8928,FOXH1
JCP2022_802465,2299,FOXI1
JCP2022_802466,399823,FOXI2
JCP2022_802467,2302,FOXJ1
JCP2022_802468,55810,FOXJ2
JCP2022_802469,22887,FOXJ3
JCP2022_802470,221937,FOXK1
JCP2022_802471,3607,FOXK2
JCP2022_802472,2300,FOXL1
JCP2022_802473,668,FOXL2
JCP2022_802474,2305,FOXM1
JCP2022_802475,8456,FOXN1
JCP2022_802476,3344,FOXN2
JCP2022_802477,1112,FOXN3
JCP2022_802478,121643,FOXN4
JCP2022_802479,2308,FOXO1
JCP2022_802480,2309,FOXO3
JCP2022_802481,4303,FOXO4
JCP2022_802482,100132074,FOXO6
JCP2022_802483,27086,FOXP1
JCP2022_802484,93986,FOXP2
JCP2022_802485,50943,FOXP3
JCP2022_802486,116113,FOXP4
JCP2022_802487,94234,FOXQ1
JCP2022_802488,283150,FOXR1
JCP2022_802489,139628,FOXR2
JCP2022_802490,2307,FOXS1
JCP2022_802491,2356,FPGS
JCP2022_802492,8790,FPGT
JCP2022_802493,2357,FPR1
JCP2022_802494,2358,FPR2
JCP2022_802495,2359,FPR3
JCP2022_802496,10023,FRAT1
JCP2022_802497,2444,FRK
JCP2022_802498,83856,FSD1L
JCP2022_802499,2492,FSHR
JCP2022_802500,2495,FTH1
JCP2022_802501,24140,FTSJ1
JCP2022_802502,117246,FTSJ3
JCP2022_802503,8880,FUBP1
JCP2022_802504,8939,FUBP3
JCP2022_802505,2517,FUCA1
JCP2022_802506,2519,FUCA2
JCP2022_802507,197258,FUK
JCP2022_802508,5045,FURIN
JCP2022_802509,2521,FUS
JCP2022_802510,2523,FUT1
JCP2022_802511,2524,FUT2
JCP2022_802512,2525,FUT3
JCP2022_802513,2526,FUT4
JCP2022_802514,2527,FUT5
JCP2022_802515,2528,FUT6
JCP2022_802516,2529,FUT7
JCP2022_802517,2530,FUT8
JCP2022_802518,10690,FUT9
JCP2022_802519,486,FXYD2
JCP2022_802520,53828,FXYD4
JCP2022_802521,53827,FXYD5
JCP2022_802522,53826,FXYD6
JCP2022_802523,53822,FXYD7
JCP2022_802524,79443,FYCO1
JCP2022_802525,2534,FYN
JCP2022_802526,8321,FZD1
JCP2022_802527,11211,FZD10
JCP2022_802528,2535,FZD2
JCP2022_802529,7976,FZD3
JCP2022_802530,8322,FZD4
JCP2022_802531,7855,FZD5
JCP2022_802532,8323,FZD6
JCP2022_802533,8324,FZD7
JCP2022_802534,8325,FZD8
JCP2022_802535,8326,FZD9
JCP2022_802536,55632,G2E3
JCP2022_802537,10146,G3BP1
JCP2022_802538,9908,G3BP2
JCP2022_802539,2538,G6PC
JCP2022_802540,57818,G6PC2
JCP2022_802541,92579,G6PC3
JCP2022_802542,2539,G6PD
JCP2022_802543,2548,GAA
JCP2022_802544,9846,GAB2
JCP2022_802545,11337,GABARAP
JCP2022_802546,11345,GABARAPL2
JCP2022_802547,2550,GABBR1
JCP2022_802548,9568,GABBR2
JCP2022_802549,2553,GABPB1
JCP2022_802550,2554,GABRA1
JCP2022_802551,2555,GABRA2
JCP2022_802552,2556,GABRA3
JCP2022_802553,2557,GABRA4
JCP2022_802554,2558,GABRA5
JCP2022_802555,2559,GABRA6
JCP2022_802556,2560,GABRB1
JCP2022_802557,2561,GABRB2
JCP2022_802558,2562,GABRB3
JCP2022_802559,2563,GABRD
JCP2022_802560,2564,GABRE
JCP2022_802561,2565,GABRG1
JCP2022_802562,2566,GABRG2
JCP2022_802563,2567,GABRG3
JCP2022_802564,2568,GABRP
JCP2022_802565,55879,GABRQ
JCP2022_802566,2569,GABRR1
JCP2022_802567,2570,GABRR2
JCP2022_802568,200959,GABRR3
JCP2022_802569,2571,GAD1
JCP2022_802570,2572,GAD2
JCP2022_802571,1647,GADD45A
JCP2022_802572,10912,GADD45G
JCP2022_802573,339896,GADL1
JCP2022_802574,2580,GAK
JCP2022_802575,9514,GAL3ST1
JCP2022_802576,64090,GAL3ST2
JCP2022_802577,89792,GAL3ST3
JCP2022_802578,79690,GAL3ST4
JCP2022_802579,2581,GALC
JCP2022_802580,2582,GALE
JCP2022_802581,2584,GALK1
JCP2022_802582,2585,GALK2
JCP2022_802583,130589,GALM
JCP2022_802584,2588,GALNS
JCP2022_802585,2589,GALNT1
JCP2022_802586,55568,GALNT10
JCP2022_802587,63917,GALNT11
JCP2022_802588,79695,GALNT12
JCP2022_802589,114805,GALNT13
JCP2022_802590,79623,GALNT14
JCP2022_802591,117248,GALNT15
JCP2022_802592,57452,GALNT16
JCP2022_802593,374378,GALNT18
JCP2022_802594,2590,GALNT2
JCP2022_802595,2591,GALNT3
JCP2022_802596,8693,GALNT4
JCP2022_802597,11227,GALNT5
JCP2022_802598,11226,GALNT6
JCP2022_802599,51809,GALNT7
JCP2022_802600,26290,GALNT8
JCP2022_802601,50614,GALNT9
JCP2022_802602,168391,GALNTL5
JCP2022_802603,2587,GALR1
JCP2022_802604,8811,GALR2
JCP2022_802605,2592,GALT
JCP2022_802606,2593,GAMT
JCP2022_802607,23193,GANAB
JCP2022_802608,2595,GANC
JCP2022_802609,2597,GAPDH
JCP2022_802610,26330,GAPDHS
JCP2022_802611,2617,GARS
JCP2022_802612,2618,GART
JCP2022_802613,2620,GAS2
JCP2022_802614,2621,GAS6
JCP2022_802615,8522,GAS7
JCP2022_802616,2623,GATA1
JCP2022_802617,2624,GATA2
JCP2022_802618,2625,GATA3
JCP2022_802619,2626,GATA4
JCP2022_802620,140628,GATA5
JCP2022_802621,2627,GATA6
JCP2022_802622,54815,GATAD2A
JCP2022_802623,57459,GATAD2B
JCP2022_802624,5188,GATB
JCP2022_802625,2628,GATM
JCP2022_802626,2629,GBA
JCP2022_802627,57704,GBA2
JCP2022_802628,57733,GBA3
