Metadata_JCP2022,Metadata_NCBI_Gene_ID,Metadata_Symbol
JCP2022_800181,80332,ADAM33
JCP2022_800182,8756,ADAM7
JCP2022_800183,101,ADAM8
JCP2022_800184,8754,ADAM9
JCP2022_800185,27299,ADAMDEC1
JCP2022_800186,9510,ADAMTS1
JCP2022_800187,81794,ADAMTS10
JCP2022_800188,81792,ADAMTS12
JCP2022_800189,11093,ADAMTS13
JCP2022_800190,140766,ADAMTS14
JCP2022_800191,170689,ADAMTS15
JCP2022_800192,170690,ADAMTS16
JCP2022_800193,170691,ADAMTS17
JCP2022_800194,170692,ADAMTS18
JCP2022_800195,171019,ADAMTS19
JCP2022_800196,9509,ADAMTS2
JCP2022_800197,80070,ADAMTS20
JCP2022_800198,9508,ADAMTS3
JCP2022_800199,9507,ADAMTS4
JCP2022_800200,11096,ADAMTS5
JCP2022_800201,11174,ADAMTS6
JCP2022_800202,11173,ADAMTS7
JCP2022_800203,11095,ADAMTS8
JCP2022_800204,56999,ADAMTS9
JCP2022_800205,103,ADAR
JCP2022_800206,104,ADARB1
JCP2022_800207,23536,ADAT1
JCP2022_800208,134637,ADAT2
JCP2022_800209,57143,ADCK1
JCP2022_800210,90956,ADCK2
JCP2022_800211,56997,ADCK3
JCP2022_800212,79934,ADCK4
JCP2022_800213,203054,ADCK5
JCP2022_800214,107,ADCY1
JCP2022_800215,55811,ADCY10
JCP2022_800216,108,ADCY2
JCP2022_800217,109,ADCY3
JCP2022_800218,196883,ADCY4
JCP2022_800219,111,ADCY5
JCP2022_800220,112,ADCY6
JCP2022_800221,113,ADCY7
JCP2022_800222,114,ADCY8
JCP2022_800223,115,ADCY9
JCP2022_800224,117,ADCYAP1R1
JCP2022_800225,118,ADD1
JCP2022_800226,79747,ADGB
JCP2022_800227,84435,ADGRA1
JCP2022_800228,25960,ADGRA2
JCP2022_800229,166647,ADGRA3
JCP2022_800230,575,ADGRB1
JCP2022_800231,576,ADGRB2
JCP2022_800232,577,ADGRB3
JCP2022_800233,283383,ADGRD1
JCP2022_800234,2015,ADGRE1
JCP2022_800235,30817,ADGRE2
JCP2022_800236,84658,ADGRE3
JCP2022_800237,976,ADGRE5
JCP2022_800238,266977,ADGRF1
JCP2022_800239,222611,ADGRF2
JCP2022_800240,165082,ADGRF3
JCP2022_800241,221393,ADGRF4
JCP2022_800242,221395,ADGRF5
JCP2022_800243,9289,ADGRG1
JCP2022_800244,10149,ADGRG2
JCP2022_800245,222487,ADGRG3
JCP2022_800246,139378,ADGRG4
JCP2022_800247,221188,ADGRG5
JCP2022_800248,57211,ADGRG6
JCP2022_800249,84873,ADGRG7
JCP2022_800250,22859,ADGRL1
JCP2022_800251,23266,ADGRL2
JCP2022_800252,23284,ADGRL3
JCP2022_800253,64123,ADGRL4
JCP2022_800254,84059,ADGRV1
JCP2022_800255,124,ADH1A
JCP2022_800256,125,ADH1B
JCP2022_800257,126,ADH1C
JCP2022_800258,127,ADH4
JCP2022_800259,128,ADH5
JCP2022_800260,130,ADH6
JCP2022_800261,131,ADH7
JCP2022_800262,137872,ADHFE1
JCP2022_800263,55256,ADI1
JCP2022_800264,132,ADK
JCP2022_800265,79924,ADM2
JCP2022_800266,23394,ADNP
JCP2022_800267,134,ADORA1
JCP2022_800268,135,ADORA2A
JCP2022_800269,136,ADORA2B
JCP2022_800270,140,ADORA3
JCP2022_800271,83440,ADPGK
JCP2022_800272,141,ADPRH
JCP2022_800273,113622,ADPRHL1
JCP2022_800274,54936,ADPRHL2
JCP2022_800275,148,ADRA1A
JCP2022_800276,147,ADRA1B
JCP2022_800277,146,ADRA1D
JCP2022_800278,150,ADRA2A
JCP2022_800279,151,ADRA2B
JCP2022_800280,152,ADRA2C
JCP2022_800281,153,ADRB1
JCP2022_800282,154,ADRB2
JCP2022_800283,155,ADRB3
JCP2022_800284,156,ADRBK1
JCP2022_800285,157,ADRBK2
JCP2022_800286,158,ADSL
JCP2022_800287,159,ADSS
JCP2022_800288,122622,ADSSL1
JCP2022_800289,165,AEBP1
JCP2022_800290,121536,AEBP2
JCP2022_800291,166,AES
JCP2022_800292,4299,AFF1
JCP2022_800293,3899,AFF3
JCP2022_800294,27125,AFF4
JCP2022_800295,10939,AFG3L2
JCP2022_800296,125061,AFMID
JCP2022_800297,174,AFP
JCP2022_800298,175,AGA
JCP2022_800299,116988,AGAP3
JCP2022_800300,123624,AGBL1
JCP2022_800301,79841,AGBL2
JCP2022_800302,340351,AGBL3
JCP2022_800303,84871,AGBL4
JCP2022_800304,60509,AGBL5
JCP2022_800305,177,AGER
JCP2022_800306,55750,AGK
JCP2022_800307,178,AGL
JCP2022_800308,79814,AGMAT
JCP2022_800309,392636,AGMO
